benchmark,time,charge,mAh_total,mAh_cpu,mAh_wifi,energy_total,energy_cpu,energy_wifi
localLoginEncSharedPref-1000,539.0,2.011,0.357,0.356,0.00111,2.5845371999999998,2.5772976000000005,0.008035956000000002
localLoginEncSharedPref-1000,535.0,2.011,0.352,0.351,0.00111,2.5483392,2.5410996000000003,0.008035956000000002
localLoginEncSharedPref-1000,609.0,2.011,0.355,0.354,0.00111,2.5700580000000004,2.5628184000000003,0.008035956000000002
localLoginEncSharedPref-1000,553.0,2.011,0.389,0.387,0.00111,2.8162044,2.8017252000000004,0.008035956000000002
localLoginEncSharedPref-1000,554.0,2.011,0.402,0.401,0.00111,2.9103192000000004,2.9030796000000008,0.008035956000000002
localLoginEncSharedPref-1000,569.0,2.011,0.388,0.387,0.00111,2.8089648,2.8017252000000004,0.008035956000000002
localLoginEncSharedPref-1000,588.0,2.011,0.38,0.379,0.00111,2.7510480000000004,2.7438084000000003,0.008035956000000002
localLoginEncSharedPref-1000,569.0,2.011,0.348,0.346,0.00111,2.5193808,2.5049016,0.008035956000000002
localLoginEncSharedPref-1000,684.0,2.011,0.364,0.362,0.00111,2.6352144,2.6207352,0.008035956000000002
localLoginEncSharedPref-1000,921.0,2.011,0.722,0.721,0.00111,5.2269912000000005,5.2197516,0.008035956000000002
localLoginEncSharedPref-1000,791.0,2.011,0.395,0.394,0.00111,2.8596420000000005,2.8524024000000003,0.008035956000000002
localLoginEncSharedPref-1000,586.0,2.011,0.112,0.111,0.00111,0.8108352000000001,0.8035956000000001,0.008035956000000002
localLoginEncSharedPref-1000,590.0,2.011,0.388,0.387,0.00111,2.8089648,2.8017252000000004,0.008035956000000002
localLoginEncSharedPref-1000,745.0,2.011,0.395,0.393,0.00111,2.8596420000000005,2.8451628,0.008035956000000002
localLoginEncSharedPref-1000,561.0,2.011,0.39,0.389,0.00111,2.8234440000000003,2.8162044,0.008035956000000002
localLoginEncSharedPref-1000,577.0,2.011,0.383,0.382,0.00111,2.7727668000000003,2.7655272,0.008035956000000002
localLoginEncSharedPref-1000,591.0,2.011,0.371,0.37,0.00111,2.6858916000000006,2.6786520000000005,0.008035956000000002
localLoginEncSharedPref-1000,641.0,2.011,0.366,0.365,0.00111,2.6496936000000004,2.6424540000000003,0.008035956000000002
localLoginEncSharedPref-1000,549.0,2.011,0.433,0.432,0.00111,3.1347468000000003,3.1275072,0.008035956000000002
localLoginEncSharedPref-1000,555.0,2.011,0.351,0.35,0.00111,2.5410996000000003,2.5338600000000002,0.008035956000000002
localLoginEncSharedPref-1000,530.0,2.011,0.369,0.368,0.00111,2.6714124000000004,2.6641728000000002,0.008035956000000002
localLoginSharedPref-10000,351.0,1.788,0.00111,0.0,0.00111,0.0071448480000000005,0.0,0.0071448480000000005
localLoginSharedPref-10000,303.0,1.788,0.35,0.349,0.00111,2.25288,2.2464432,0.0071448480000000005
localLoginSharedPref-10000,296.0,1.788,0.358,0.357,0.00111,2.3043744,2.2979376,0.0071448480000000005
localLoginSharedPref-10000,305.0,1.788,0.395,0.394,0.00111,2.542536,2.5360992,0.0071448480000000005
localLoginSharedPref-10000,349.0,1.788,0.4,0.399,0.00111,2.5747200000000006,2.5682832,0.0071448480000000005
localLoginSharedPref-10000,278.0,1.788,0.356,0.355,0.00111,2.2915008,2.285064,0.0071448480000000005
localLoginSharedPref-10000,313.0,1.788,0.376,0.375,0.00111,2.4202368,2.4138,0.0071448480000000005
localLoginSharedPref-10000,346.0,1.788,0.347,0.346,0.00111,2.2335695999999996,2.2271328,0.0071448480000000005
localLoginSharedPref-10000,319.0,1.788,0.356,0.355,0.00111,2.2915008,2.285064,0.0071448480000000005
localLoginSharedPref-10000,295.0,1.788,0.376,0.375,0.00111,2.4202368,2.4138,0.0071448480000000005
localLoginSharedPref-10000,301.0,1.788,0.379,0.378,0.00111,2.4395472000000002,2.4331104,0.0071448480000000005
localLoginSharedPref-10000,311.0,1.788,0.362,0.361,0.00111,2.3301216,2.3236848,0.0071448480000000005
localLoginSharedPref-10000,335.0,1.788,0.365,0.364,0.00111,2.349432,2.3429952000000003,0.0071448480000000005
localLoginSharedPref-10000,294.0,1.788,0.324,0.323,0.00111,2.0855232000000004,2.0790864,0.0071448480000000005
localLoginSharedPref-10000,334.0,1.788,0.343,0.342,0.00111,2.2078224000000004,2.2013856,0.0071448480000000005
localLoginSharedPref-10000,313.0,1.788,0.408,0.407,0.00111,2.6262144,2.6197776,0.0071448480000000005
localLoginSharedPref-10000,308.0,1.788,0.000802,0.0,0.000802,0.0051623136,0.0,0.0051623136
localLoginSharedPref-10000,1098.0,1.788,0.532,0.531,0.00111,3.4243776000000006,3.4179408000000002,0.0071448480000000005
localLoginSharedPref-10000,320.0,1.788,0.399,0.398,0.00111,2.5682832,2.5618464000000003,0.0071448480000000005
localLoginSharedPref-10000,308.0,1.788,0.342,0.341,0.00111,2.2013856,2.1949488,0.0071448480000000005
localLoginSharedPref-10000,300.0,1.788,0.336,0.335,0.00111,2.1627648,2.1563280000000002,0.0071448480000000005
localLoginSharedPref-10000,385.0,1.788,0.367,0.366,0.00111,2.3623056,2.3558688,0.0071448480000000005
localLoginSharedPref-10000,306.0,1.788,0.371,0.37,0.00111,2.3880528,2.381616,0.0071448480000000005
localLoginSharedPref-10000,292.0,1.788,0.352,0.351,0.00111,2.2657536,2.2593168,0.0071448480000000005
localLoginSharedPref-10000,312.0,1.788,0.388,0.387,0.00111,2.4974784000000003,2.4910416,0.0071448480000000005
localLoginSharedPref-10000,338.0,1.788,0.356,0.355,0.00111,2.2915008,2.285064,0.0071448480000000005
localLoginSharedPref-10000,276.0,1.788,0.391,0.39,0.00123,2.5167888000000005,2.510352,0.007917264
localLoginSharedPref-10000,375.0,1.788,0.356,0.355,0.00111,2.2915008,2.285064,0.0071448480000000005
localLoginSharedPref-10000,387.0,1.788,0.377,0.376,0.00111,2.4266736,2.4202368,0.0071448480000000005
